,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2017
0,Cristiano Ronaldo,Cristiano Ronaldo,32,185,80,Portugal,Real Madrid,94,94,Right,5,4,5,High/Low,C. Ronaldo,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,2009-07-01,LS,90.0,93.0,90.0,33.0,80.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Through Ball",85+1,94+1,88+3,83,88,91-1,81,76,77,93,89-2,91-1,89-1,96,63,94+2,95,92,80,92+2,63,29,95+1,85,85,95+9,22,31,23,7,11,15,14,11,114.0
1,L. Messi,Lionel Messi,30,170,72,Argentina,FC Barcelona,93,93,Left,5,4,4,Medium/Medium,Messi,"#Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher",RW,,2004-07-01,RW,89.0,90.0,96.0,26.0,61.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Playmaker (CPU AI Only), One Club Player, Chip Shot (CPU AI Only)",77,95,71,88,85,97,89,90,87,95,92,87,90,95,95,85,68,73-1,59,88,48,22,93,90,74,96+2,13,28,26,6,11,15,14,8,136.8
2,Neymar,Neymar,25,175,68,Brazil,Paris Saint-Germain,92,94,Right,5,5,5,High/Medium,Neymar,"#Speedster, #Dribbler, #Acrobat",LW,,2017-08-03,LW,92.0,84.0,95.0,30.0,60.0,,,,,,,"Diver, Flair, Speed Dribbler (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",75,89,62,81,83,96,81,84,75,95,94+1,90,96,88,82,80+2,61,78-1,53,77,56,36,90,80,81,92+12,21,24,33,9,9,15,15,11,133.0
3,L. Suárez,Luis Suárez,30,182,86,Uruguay,FC Barcelona,92,92,Right,5,4,4,High/Medium,Normal,"#Acrobat, #Clinical Finisher",ST,,2014-07-11,LS,82.0,90.0,87.0,42.0,81.0,,,,,,,"Diver, Beat Offside Trap, Technical Dribbler (CPU AI Only)",77,94,77,83,88,86,86,84,64,91,88,77,86,93,60,87,69,89,80,86,78,41,92,84,85,83,30,45,38,27,25,31,33,37,102.6
4,R. Lewandowski,Robert Lewandowski,28,185,79,Poland,FC Bayern München,91,91,Right,4,4,3,High/Medium,Normal,#Clinical Finisher,ST,,2014-07-01,ST,81.0,88.0,86.0,38.0,82.0,,,,,,,"Injury Free, Finesse Shot, Chip Shot (CPU AI Only)",62,91,85,83,87+1,85,77,84+8,65,89+2,79,83+1,78,91+3,80+1,88+2,84,79,84,83+1,80,39,91+2,78,81,87,25,42,19,15,6,12,8,10,91.2
5,E. Hazard,Eden Hazard,26,173,76,Belgium,Chelsea,90,91,Right,4,4,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2012-07-01,LF,90.0,82.0,92.0,32.0,66.0,,,,,,,"Beat Offside Trap, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",80,83+2,57,86+2,79,93,82,79,81+1,92+1,93,87,93+1,85,91+1,79,59,79+2,65,82,54,41,85,86,86,87+1,25,27,22,11,12,6,8,8,82.65
6,Sergio Ramos,Sergio Ramos,31,183,75,Spain,Real Madrid,90,90,Right,4,3,3,High/Medium,Normal,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,,2005-08-01,LCB,76.0,63.0,71.0,88.0,83.0,,,,,,,"Dives Into Tackles (CPU AI Only), Leadership, Power Header",66,60,91+1,78+2,66,61,73,67,72+2,84+1,75-2,77-1,79-1,85+3,60,79,93+1,84,81,55,84,88,52,63,68,80+4,86+1,89,91+1,11,8,9,7,11,45.6
7,G. Higuaín,Gonzalo Higuaín,29,184,87,Argentina,Juventus,90,90,Right,4,4,3,High/Medium,Normal,#Clinical Finisher,ST,,2016-07-26,,79.0,87.0,83.0,25.0,74.0,,,,,,,"Outside Foot Shot, Through Ball",68,91-1,86+6,75+2,88,84,74,62,59,85,78-1,80-1,75,88+2,69,88+2,79+2,72-1,85,82+2,50,20,92,70,70,86+2,12,22,18,5,12,7,5,10,82.65
8,T. Kroos,Toni Kroos,27,182,78,Germany,Real Madrid,90,90,Right,4,5,3,Medium/Medium,Normal,"#Playmaker  , #Distance Shooter",LCM,,2014-07-17,LDM,56.0,81.0,81.0,73.0,70.0,,,,,,,"Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Set Play Specialist",85,76+1,54,90+1,82,79+1,85,84,93,89+4,60+5,52+15,71+1,86+1,69+7,87,32-2,77-1,74,90+2,60,85+8,79+3,88,73,85,63,82+7,69+4,10,11,13,7,10,74.1
9,T. Courtois,Thibaut Courtois,25,199,94,Belgium,Chelsea,89,92,Left,4,3,1,Medium/Medium,Courtois,,GK,,2011-07-26,GK,,,,,,85.0,91.0,69.0,88.0,49.0,86.0,"GK Long Throw, Comes For Crosses",14,14,13,32,12,13,19,11,31,23,46,52,61,81,45,36,68,38,70,17,23,15,13,44,27,52,11,18,16,85+1,91,69,86,88-1,45.6
