,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2019
0,L. Messi,Lionel Messi,32,170,72,Argentina,FC Barcelona,94,94,Left,5,4,4,Medium/Low,Messi,"#Dribbler, #Distance Shooter, #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",RW,,2004-07-01,,87.0,92.0,96.0,39.0,66.0,,,,,,,"Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only), 1-on-1 Rush, Giant Throw-in, Outside Foot Shot",88,95,70,92,88,97,93,94,92,96,91,84,93,95,95,86,68,75,68,94,48,40,94,94,75,96,33,37,26,6,11,15,14,8,171.0
1,Cristiano Ronaldo,Cristiano Ronaldo,34,187,83,Portugal,Juventus,93,93,Right,5,4,5,High/Low,C. Ronaldo,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,2018-07-10,LS,90.0,93.0,89.0,35.0,78.0,,,,,,,"Long Throw-in, Selfish, Argues with Officials, Early Crosser, Speed Dribbler (CPU AI Only), Skilled Dribbling",84,94,89,83,87,89,81,76,77,92,89,91,87,96,71,95,95,85,78,93,63,29,95,82,85,95,28,32,24,7,11,15,14,11,102.6
2,Neymar Jr,Neymar,27,175,68,Brazil,Paris Saint-Germain,92,92,Right,5,5,5,High/Medium,Neymar,"#Speedster, #Dribbler, #Playmaker  , #Crosser, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,,2017-08-03,LW,91.0,85.0,95.0,32.0,58.0,,,,,,,"Power Free-Kick, Injury Free, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",87,87,62,87,87,96,88,87,81,95,94,89,96,92,84,80,61,81,49,84,51,36,87,90,90,94,27,26,29,9,9,15,15,11,205.2
3,J. Oblak,Jan Oblak,26,188,87,Slovenia,Atlético Madrid,91,93,Right,3,3,1,Medium/Medium,Normal,,GK,,2014-07-16,GK,,,,,,87.0,92.0,78.0,89.0,52.0,90.0,"Flair, Acrobatic Clearance",13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,59,78,41,78,12,34,19,11,65,11,68,27,12,18,87,92,78,90,89,114.0
4,E. Hazard,Eden Hazard,28,175,74,Belgium,Real Madrid,91,91,Right,4,4,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2019-07-01,LF,91.0,83.0,94.0,35.0,66.0,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",81,84,61,89,83,95,83,79,83,94,94,88,95,90,94,82,56,84,63,80,54,41,87,89,88,91,34,27,22,11,12,6,8,8,171.0
5,K. De Bruyne,Kevin De Bruyne,28,181,70,Belgium,Manchester City,91,91,Right,4,5,4,High/High,Normal,"#Dribbler, #Playmaker  , #Engine, #Distance Shooter, #Crosser, #Complete Midfielder",RCM,,2015-08-30,RCM,76.0,86.0,86.0,61.0,78.0,,,,,,,"Power Free-Kick, Avoids Using Weaker Foot, Dives Into Tackles (CPU AI Only), Leadership, Argues with Officials, Finesse Shot",93,82,55,92,82,86,85,83,91,91,77,76,78,91,76,91,63,89,74,90,76,61,88,94,79,91,68,58,51,15,13,5,10,13,148.2
6,M. ter Stegen,Marc-André ter Stegen,27,187,85,Germany,FC Barcelona,90,93,Right,3,4,1,Medium/Medium,Normal,,GK,,2014-07-01,SUB,,,,,,88.0,85.0,88.0,90.0,45.0,88.0,"Swerve Pass, Acrobatic Clearance, Flair Passes",18,14,11,61,14,21,18,12,63,30,38,50,37,86,43,66,79,35,78,10,43,22,11,70,25,70,25,13,10,88,85,88,88,90,102.6
7,V. van Dijk,Virgil van Dijk,27,193,92,Netherlands,Liverpool,90,91,Right,3,3,2,Medium/Medium,Normal,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,,2018-01-01,LCB,77.0,60.0,71.0,90.0,86.0,,,,,,,"Diver, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only)",53,52,86,78,45,70,60,70,81,76,74,79,61,88,53,81,90,75,92,64,82,89,47,65,62,89,91,92,85,13,10,13,11,11,108.3
8,L. Modrić,Luka Modric,33,172,66,Croatia,Real Madrid,90,90,Right,4,4,4,High/High,Lean,"#Dribbler, #Playmaker  , #Crosser, #Acrobat, #Complete Midfielder",RCM,,2012-08-01,,74.0,76.0,89.0,72.0,66.0,,,,,,,"Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",86,72,55,92,76,87,85,78,88,92,77,71,92,89,93,79,68,85,58,82,62,82,79,91,82,92,68,76,71,13,9,7,14,9,22.8
9,K. Mbappé,Kylian Mbappé,20,178,73,France,Paris Saint-Germain,89,95,Right,3,4,5,High/Low,Normal,"#Speedster, #Dribbler, #Acrobat",RW,,2018-07-01,RM,96.0,84.0,90.0,39.0,75.0,,,,,,,"Beat Offside Trap, Selfish, Early Crosser, Speed Dribbler (CPU AI Only), Crowd Favourite",78,89,77,82,79,91,79,63,70,90,96,96,92,89,83,83,76,84,76,79,62,38,89,80,70,84,34,34,32,13,5,7,11,6,228.0
10,K. Koulibaly,Kalidou Koulibaly,28,187,89,Senegal,Napoli,89,91,Right,3,3,2,Medium/High,Normal,"#Tackling , #Tactician , #Strength, #Complete Defender",LCB,,2014-07-01,,71.0,28.0,67.0,89.0,87.0,,,,,,,Long Passer (CPU AI Only),30,22,83,71,14,69,28,28,63,71,69,73,52,86,41,55,81,73,95,15,87,88,35,52,33,82,91,90,87,7,11,7,13,5,85.5
11,H. Kane,Harry Kane,25,188,89,England,Tottenham Hotspur,89,91,Right,3,4,3,High/High,Normal,"#Engine, #Distance Shooter, #Clinical Finisher",ST,,2010-07-01,ST,70.0,91.0,81.0,47.0,83.0,,,,,,,"Injury Free, Avoids Using Weaker Foot, Argues with Officials, Giant Throw-in",75,94,86,81,85,80,78,68,83,84,68,72,71,91,73,90,79,87,84,86,78,35,93,81,90,91,56,36,38,8,10,11,14,11,171.0
12,Alisson,Alisson,26,191,91,Brazil,Liverpool,89,91,Right,3,3,1,Medium/Medium,Normal,,GK,,2018-07-19,,,,,,,85.0,84.0,85.0,89.0,51.0,90.0,"Flair, Swerve Pass",17,13,19,45,20,27,19,18,44,30,56,47,40,88,37,64,52,32,78,14,27,11,13,66,23,65,15,19,16,85,84,85,90,89,91.2
13,N. Kanté,N'Golo Kanté,28,168,72,France,Chelsea,89,90,Right,3,3,2,Medium/High,Normal,"#Tackling , #Tactician ",RCM,,2016-07-16,LDM,78.0,65.0,81.0,87.0,83.0,,,,,,,Diver,68,65,54,86,56,79,49,49,81,80,79,77,82,93,92,71,77,97,73,63,90,92,72,79,54,85,90,91,85,15,12,10,7,10,114.0
14,S. Agüero,Sergio Agüero,31,173,70,Argentina,Manchester City,89,89,Right,4,4,4,High/Medium,Stocky,"#Dribbler, #Clinical Finisher, #Complete Forward",ST,,2011-07-28,ST,80.0,90.0,88.0,33.0,74.0,,,,,,,"Avoids Using Weaker Foot, Outside Foot Shot",70,93,78,83,85,88,83,73,64,89,82,78,84,92,91,89,81,79,74,84,65,24,93,83,83,90,30,29,24,13,15,6,11,14,74.1
15,Sergio Ramos,Sergio Ramos,33,184,82,Spain,Real Madrid,89,89,Right,4,3,3,High/Medium,Normal,"#Aerial Threat, #Tackling , #Tactician , #Complete Defender",LCB,,2005-08-01,RCB,72.0,68.0,73.0,87.0,85.0,,,,,,,"Injury Prone, Avoids Using Weaker Foot, Leadership, Long Passer (CPU AI Only), Giant Throw-in",66,63,92,80,69,65,74,72,83,83,74,71,78,87,66,79,93,80,85,62,90,88,67,71,86,84,85,87,90,11,8,9,7,11,28.5
16,L. Suárez,Luis Suárez,32,182,86,Uruguay,FC Barcelona,89,89,Right,5,4,3,High/Medium,Normal,"#Distance Shooter, #Strength, #Clinical Finisher, #Complete Forward",ST,,2014-07-11,,73.0,89.0,84.0,51.0,84.0,,,,,,,"Diver, Speed Dribbler (CPU AI Only)",78,91,83,82,90,85,86,82,72,84,76,70,79,92,79,88,69,82,86,86,87,41,92,82,83,85,57,45,38,27,25,31,33,37,57.0
17,L. Díaz,Luis Suárez,20,180,72,Costa Rica,Columbus Crew SC,66,77,Right,1,3,2,Medium/Medium,Normal,,SUB,,2019-07-02,,77.0,60.0,69.0,29.0,54.0,,,,,,,Argues with Officials,64,55,43,65,63,68,66,56,59,66,79,75,86,59,69,71,59,60,49,57,56,19,62,59,60,63,28,33,29,5,8,7,8,7,57.0
18,R. Lewandowski,Robert Lewandowski,30,184,80,Poland,FC Bayern München,89,89,Right,4,4,4,High/Medium,Normal,#Clinical Finisher,ST,,2014-07-01,LS,77.0,87.0,85.0,41.0,82.0,,,,,,,"Diver, Beat Offside Trap, Speed Dribbler (CPU AI Only), Outside Foot Shot",62,88,85,82,88,85,77,85,65,88,77,77,78,90,82,87,84,78,84,84,81,39,91,77,86,86,34,42,19,15,6,12,8,10,74.1
19,Sergio Busquets,Sergio Busquets,30,189,76,Spain,FC Barcelona,89,89,Right,4,3,3,Medium/Medium,Lean,"#Playmaker  , #Tactician ",CDM,,2008-09-01,CDM,42.0,62.0,80.0,85.0,80.0,,,,,,,Giant Throw-in,62,67,68,89,44,80,66,68,82,88,40,43,67,87,49,61,66,86,77,54,85,89,77,86,60,93,90,86,80,5,8,13,9,13,57.0
20,A. Griezmann,Antoine Griezmann,28,176,73,France,FC Barcelona,89,89,Left,4,3,4,High/High,Normal,"#Dribbler, #Engine, #Acrobat, #Clinical Finisher, #Complete Forward",LW,,2019-07-12,CAM,81.0,86.0,89.0,57.0,72.0,,,,,,,"Beat Offside Trap, Selfish, Argues with Officials, Finesse Shot, Speed Dribbler (CPU AI Only), Outside Foot Shot, Crowd Favourite",83,89,84,85,87,88,86,85,82,90,82,81,90,92,83,82,89,87,63,83,73,49,90,86,86,89,59,54,49,14,8,14,13,14,148.2
21,P. Dybala,Paulo Dybala,25,177,75,Argentina,Juventus,88,92,Left,3,3,4,Medium/Medium,Normal,"#Dribbler, #Playmaker  , #FK Specialist, #Acrobat, #Complete Midfielder",RW,,2015-07-01,CF,83.0,82.0,90.0,43.0,64.0,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot, Speed Dribbler (CPU AI Only), Crowd Favourite",82,80,64,87,88,90,88,88,75,93,86,81,91,84,85,80,75,79,61,86,48,42,80,87,86,84,32,48,40,5,4,4,5,8,98.8
22,P. Pogba,Paul Pogba,26,191,84,France,Manchester United,88,91,Right,4,4,5,High/Medium,Normal,"#Dribbler, #Playmaker  , #Strength, #Complete Midfielder",LDM,,2016-08-09,RDM,74.0,81.0,85.0,66.0,86.0,,,,,,,"Selfish, Leadership, Argues with Officials, Finesse Shot, Crowd Favourite",80,75,75,86,84,87,85,82,90,90,67,79,75,82,66,90,82,87,89,82,78,64,83,88,83,87,63,67,65,5,6,2,4,3,108.3
23,Ederson,Ederson,25,188,86,Brazil,Manchester City,88,91,Left,2,3,1,Medium/Medium,Normal,,GK,,2017-07-01,,,,,,,86.0,82.0,93.0,88.0,63.0,86.0,"Leadership, Swerve Pass, Acrobatic Clearance",20,14,14,56,18,23,15,20,58,40,64,63,60,87,48,70,66,41,68,18,38,27,20,70,17,70,29,15,8,86,82,93,86,88,79.8
24,R. Sterling,Raheem Sterling,24,170,69,England,Manchester City,88,90,Right,3,3,4,High/Medium,Lean,"#Speedster, #Dribbler, #Acrobat",LW,,2015-07-14,LW,93.0,79.0,89.0,45.0,57.0,,,,,,,"Selfish, Early Crosser",78,83,38,84,67,89,75,63,69,88,96,91,94,89,94,76,57,79,54,77,38,30,91,79,69,79,47,53,47,15,12,12,15,9,159.6
25,C. Eriksen,Christian Eriksen,27,181,76,Denmark,Tottenham Hotspur,88,89,Right,3,5,4,High/High,Lean,"#Playmaker  , #Engine, #Crosser, #FK Specialist, #Complete Midfielder",RM,,2013-08-30,CAM,73.0,81.0,84.0,53.0,63.0,,,,,,,"Selfish, Argues with Officials, Finesse Shot",88,77,52,91,80,81,89,86,89,91,75,71,79,88,80,84,50,93,57,89,46,56,85,92,67,88,59,57,22,9,14,7,7,6,105.45
26,T. Courtois,Thibaut Courtois,27,199,96,Belgium,Real Madrid,88,89,Left,4,2,1,Medium/Medium,Courtois,,GK,,2018-08-09,GK,,,,,,85.0,89.0,72.0,87.0,49.0,85.0,"Flair, Acrobatic Clearance",14,14,13,33,12,13,19,20,35,23,46,52,61,83,45,54,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,72,85,87,62.7
27,H. Lloris,Hugo Lloris,32,188,82,France,Tottenham Hotspur,88,88,Left,4,1,1,Medium/Medium,Lean,,GK,,2012-08-31,GK,,,,,,89.0,82.0,68.0,91.0,63.0,84.0,"Swerve Pass, Acrobatic Clearance",13,10,10,50,11,10,11,10,50,34,65,62,55,86,54,51,74,41,43,14,31,27,10,30,40,65,29,10,18,89,82,68,84,91,28.5
28,David Silva,David Silva,33,173,67,Spain,Manchester City,88,88,Left,4,2,4,High/Medium,Normal,"#Dribbler, #Playmaker  , #Acrobat, #Complete Midfielder",LCM,,2010-07-14,,65.0,74.0,89.0,52.0,57.0,,,,,,,"Beat Offside Trap, Selfish, Finesse Shot",84,72,54,92,82,87,82,77,84,92,69,61,87,89,88,72,64,73,48,73,57,50,88,91,75,92,59,53,29,6,15,7,6,12,22.8
29,D. Godín,Diego Godín,33,187,78,Uruguay,Inter,88,88,Right,3,3,2,Medium/High,Lean,"#Tackling , #Tactician ",RCB,,2019-07-01,,60.0,48.0,61.0,89.0,83.0,,,,,,,"Injury Prone, Long Passer (CPU AI Only)",52,42,88,79,47,53,49,49,70,74,61,60,57,81,53,67,90,65,89,43,88,87,48,52,50,82,90,89,87,6,8,15,5,15,22.8
30,T. Kroos,Toni Kroos,29,183,76,Germany,Real Madrid,88,88,Right,4,5,3,Medium/Medium,Normal,"#Playmaker  , #Crosser, #Complete Midfielder",LCM,,2014-07-17,SUB,45.0,80.0,81.0,70.0,69.0,,,,,,,"Argues with Officials, Finesse Shot, Crowd Favourite",88,75,58,91,82,80,86,84,92,89,50,41,60,87,71,87,30,74,73,86,60,76,75,89,73,88,72,70,62,10,11,13,7,10,68.4
31,M. Reus,Marco Reus,30,180,71,Germany,Borussia Dortmund,88,88,Right,4,4,4,High/Medium,Lean,"#Dribbler, #Playmaker  , #Distance Shooter, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Midfielder, #Complete Forward",CAM,,2012-07-01,ST,85.0,88.0,87.0,45.0,66.0,,,,,,,"Power Free-Kick, Avoids Using Weaker Foot, Beat Offside Trap, Argues with Officials, Early Crosser, Finesse Shot, Speed Dribbler (CPU AI Only)",82,87,49,86,90,87,89,86,77,88,85,85,86,87,84,88,71,76,67,87,51,48,89,86,90,85,49,37,45,12,12,13,13,11,57.0
32,P. Aubameyang,Pierre-Emerick Aubameyang,30,187,80,Gabon,Arsenal,88,88,Right,3,4,4,Medium/Low,Lean,"#Poacher, #Speedster, #Complete Forward",LM,,2018-01-31,,94.0,85.0,80.0,37.0,69.0,,,,,,,"Diver, Beat Offside Trap, Early Crosser, Speed Dribbler (CPU AI Only), Outside Foot Shot",76,89,78,77,86,79,80,74,64,82,93,95,76,87,69,82,79,78,74,79,43,48,90,77,76,85,27,25,36,6,9,15,9,9,79.8
33,S. Mané,Sadio Mané,27,175,69,Senegal,Liverpool,88,88,Right,3,4,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2016-07-01,,94.0,83.0,89.0,44.0,74.0,,,,,,,"Selfish, Early Crosser",74,87,81,81,75,89,76,64,71,87,95,93,92,90,86,84,86,85,67,77,75,35,90,83,71,84,42,42,38,10,10,15,7,14,116.85
34,A. Laporte,Aymeric Laporte,25,189,85,France,Manchester City,87,90,Left,2,3,2,Medium/Medium,Normal,"#Tackling , #Tactician ",LCB,,2018-01-30,,64.0,50.0,68.0,88.0,82.0,,,,,,,Leadership,58,45,86,81,40,63,61,69,80,77,61,66,59,87,60,68,78,78,85,47,79,87,54,65,44,85,88,89,88,10,11,5,14,5,85.5
35,Bernardo Silva,Bernardo Silva,24,173,64,Portugal,Manchester City,87,90,Left,2,3,4,High/High,Lean,"#Dribbler, #Engine, #Acrobat",RW,,2017-07-01,CAM,81.0,76.0,92.0,51.0,67.0,,,,,,,"Selfish, Finesse Shot, Crowd Favourite",85,78,51,86,69,92,84,67,74,92,85,78,94,85,92,74,51,93,54,75,69,49,85,85,68,87,49,59,40,9,10,14,12,9,102.6
36,H. Son,Heung-min Son,26,183,78,Korea Republic,Tottenham Hotspur,87,88,Right,3,5,4,High/High,Lean,"#Dribbler, #Engine, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LM,,2015-08-28,,88.0,86.0,87.0,42.0,68.0,,,,,,,"Diver, Beat Offside Trap, Argues with Officials, Early Crosser",81,86,65,83,81,88,85,70,70,87,86,89,86,89,76,88,63,87,62,90,60,39,88,81,71,87,48,34,33,11,13,13,6,10,82.65
37,K. Benzema,Karim Benzema,31,185,81,France,Real Madrid,87,87,Right,4,4,4,Medium/Low,Normal,,CF,,2009-07-09,,76.0,82.0,86.0,39.0,77.0,,,,,,,"Finesse Shot, Speed Dribbler (CPU AI Only), Giant Throw-in",75,84,83,85,83,86,81,73,72,90,78,74,78,85,69,82,77,79,80,76,65,39,88,86,82,87,47,24,18,13,11,5,5,7,45.6
38,J. Vertonghen,Jan Vertonghen,32,189,86,Belgium,Tottenham Hotspur,87,87,Left,3,3,3,High/High,Normal,"#Tackling , #Tactician ",LCB,,2012-07-01,LCB,63.0,63.0,72.0,87.0,79.0,,,,,,,"Long Throw-in, Avoids Using Weaker Foot",72,56,80,79,52,71,66,70,74,77,60,65,60,85,60,80,85,75,79,66,84,89,56,68,66,84,89,87,88,6,10,9,12,7,28.5
39,D. Mertens,Dries Mertens,32,169,61,Belgium,Napoli,87,87,Right,3,4,4,High/Low,Normal,"#Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward",SUB,,2013-07-01,RF,88.0,83.0,91.0,35.0,53.0,,,,,,,"Beat Offside Trap, Selfish, Argues with Officials, Speed Dribbler (CPU AI Only), Crowd Favourite, Skilled Dribbling",79,86,40,82,70,91,82,79,74,89,93,83,94,88,92,80,59,73,39,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,28.5
40,M. Hummels,Mats Hummels,30,191,94,Germany,Borussia Dortmund,87,87,Right,4,3,3,High/Medium,Normal,"#Tackling , #Tactician ",LCB,,2019-07-01,,51.0,58.0,72.0,89.0,76.0,,,,,,,"Avoids Using Weaker Foot, Leadership, Finesse Shot, Long Passer (CPU AI Only), Speed Dribbler (CPU AI Only)",64,55,87,81,60,68,65,53,85,81,46,55,64,87,59,71,68,65,85,51,71,89,56,79,68,89,90,89,86,15,6,10,5,6,39.9
41,T. Alderweireld,Toby Alderweireld,30,186,81,Belgium,Tottenham Hotspur,87,87,Right,3,3,2,Medium/Medium,Normal,"#Tackling , #Tactician ",RCB,,2015-07-08,RCB,64.0,55.0,66.0,88.0,79.0,,,,,,,Leadership,64,45,82,79,38,62,63,69,85,75,61,66,59,87,50,78,84,78,79,58,81,88,54,62,58,86,90,90,86,16,6,14,16,14,45.6
42,Jordi Alba,Jordi Alba,30,170,68,Spain,FC Barcelona,87,87,Left,3,3,3,High/Medium,Normal,"#Speedster, #Crosser, #Acrobat",LB,,2012-07-01,LB,90.0,69.0,83.0,79.0,73.0,,,,,,,,87,73,70,84,60,81,80,63,79,85,91,90,89,85,85,64,81,92,61,66,77,83,83,78,59,82,74,83,84,13,15,13,6,13,57.0
