,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2015
0,L. Messi,Lionel Messi,28,170,72,Argentina,FC Barcelona,94,95,Left,5,4,4,Medium/Low,Messi,"#Speedster, #Dribbler, #FK Specialist, #Acrobat, #Clinical Finisher, #Complete Forward",RW,,2004-07-01,RW,92.0,88.0,95.0,24.0,62.0,,,,,,,"Finesse Shot, Speed Dribbler (CPU AI Only), One Club Player, Team Player",80-4,93-1,71,88-1,85,96,89,90,79+3,96,95-1,90,92-2,92-2,95,80,68-5,76-1,59-1,88,48,22,90-2,90,74,,13-12,23+2,21+1,6,11,15,14,8,136.8
1,Cristiano Ronaldo,Cristiano Ronaldo,30,185,80,Portugal,Real Madrid,93,93,Right,5,4,5,High/Low,C. Ronaldo,"#Speedster, #Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher, #Complete Forward",LM,,2009-07-01,ST,92.0,93.0,91.0,33.0,78.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only)",82-1,95,86,81-1,87,93,88,77-2,72,91-1,91,93-1,90-3,92+2,62-1,94,94,87-2,79,93,62-1,29+5,93+2,81,85,,22,31,23,7,11,15,14,11,133.0
2,L. Suárez,Luis Suárez,28,182,85,Uruguay,FC Barcelona,90,90,Right,5,4,4,High/Medium,Normal,"#Acrobat, #Clinical Finisher",ST,,2014-07-11,,83.0,88.0,87.0,42.0,79.0,,,,,,,"Diver, Beat Offside Trap, Flair, Technical Dribbler (CPU AI Only)",77,90-1,77+2,82,87+2,88-2,86,84,64,91+2,88,78-1,86,91,60,88+4,69,86,76,85+3,78,41,91+3,84,85,,30,45,38,27,25,31,33,37,87.4
3,E. Hazard,Eden Hazard,24,173,74,Belgium,Chelsea,89,91,Right,4,4,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LM,,2012-07-01,LM,90.0,82.0,92.0,32.0,64.0,,,,,,,"Injury Free, Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",80+2,83,57,86,79,94+1,82,79,82,90,93,87,92,86,90,79,59,74,63,82,54,41,86+2,86,86,,25,27,22,11,12,6,8,8,74.1
4,Neymar,Neymar,23,174,68,Brazil,FC Barcelona,88,93,Right,5,5,5,High/Medium,Neymar,"#Speedster, #Dribbler, #Acrobat",LW,,2013-07-01,LW,90.0,80.0,92.0,30.0,57.0,,,,,,,"Diver, Flair, Technical Dribbler (CPU AI Only)",71,85,62,72,83,94,78,78,72,91+1,91,90+1,92,86,84,77,61,80-6,45,70,56,36,87,72,81,,21,24,33,9,9,15,15,11,98.8
5,David Silva,David Silva,29,170,67,Spain,Manchester City,88,88,Left,4,2,4,High/Low,Normal,"#Dribbler, #Playmaker  , #Acrobat",SUB,,2010-07-14,RM,73.0,74.0,89.0,32.0,59.0,,,,,,,"Avoids Using Weaker Foot, Flair, Playmaker (CPU AI Only)",85+6,72-1,54-4,92+4,80,87,83,77,85,91,79-3,68-3,93,84,88,71,66,68,56+3,79-1,51,41,83+1,93+3,77,,23,30,29,1,1,1,1,1,43.32
6,J. Rodríguez,James Rodríguez,23,180,75,Colombia,Real Madrid,87,93,Left,4,3,4,Medium/Medium,Normal,"#Crosser, #FK Specialist",CAM,,2014-07-22,LAM,78.0,86.0,85.0,43.0,72.0,,,,,,,"Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",88+7,85+5,68,84+1,91+9,87+1,82-3,86+3,80-4,85,78-1,78-1,83-1,85,74,86+7,55,74+1,71-2,87+4,74,58,83+3,87,81,,25,47+11,30,15,15,15,5,14,79.8
7,G. Bale,Gareth Bale,25,183,74,Wales,Real Madrid,87,91,Left,4,3,4,High/Medium,Lean,"#Speedster, #Distance Shooter",RM,,2013-09-02,LS,94.0,83.0,84.0,63.0,81.0,,,,,,,"Avoids Using Weaker Foot, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Chip Shot (CPU AI Only)",84,81,74,84,76,87,87,85,80,85,93,95,75-2,84,65,87,67,89-1,79,88,77,59,83,77-2,76,,60,65,62,15,15,11,5,6,91.2
8,T. Kroos,Toni Kroos,25,182,78,Germany,Real Madrid,87,90,Right,4,5,3,Medium/Medium,Normal,"#Playmaker  , #Distance Shooter",RDM,,2014-07-17,RDM,56.0,81.0,82.0,66.0,69.0,,,,,,,"Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",85-1,76,54,89-1,82-2,83+1,84-4,83,90-1,86+1,60-3,52-2,71-4,85,62-16,87,54,77+1,72-2,89+1,54,76+4,76+1,88,73,,60,72+4,59,10,11,13,7,10,57.0
9,R. Lewandowski,Robert Lewandowski,26,185,79,Poland,FC Bayern München,87,89,Right,4,4,3,Medium/Medium,Normal,"#Poacher, #Clinical Finisher",ST,,2014-07-01,LS,80.0,85.0,84.0,38.0,80.0,,,,,,,"Injury Free, Chip Shot (CPU AI Only)",62,88,83,82-1,82,84,77,68,65-1,87,79,81,76-4,88,78-3,84,83,79+4,81+2,80,80,39,87,78-1,77,,25,42,19-6,15,6,12,8,10,64.6
